number,value,datetime_start,datetime_complete,duration,params_corner_curvature,params_icp_maximum_iteration,params_livox_min_dis,params_mapping_plane_resolution,params_surface_curvature,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
20,0.9610891028944729,2026-07-28 02:23:01.498830,2026-07-28 02:29:12.197465,0 days 00:06:10.698635,0.02,5,0.9999999999999999,0.2,0.019999999999999997,2.0,0.0,,,,COMPLETE
21,0.8992319003994182,2026-07-28 02:29:13.135383,2026-07-28 02:36:06.616774,0 days 00:06:53.481391,0.29999999999999993,5,0.9999999999999999,0.2,0.019999999999999997,2.0,0.0,,,,COMPLETE
22,999.0,2026-07-28 02:36:08.067119,2026-07-28 02:41:53.668810,0 days 00:05:45.601691,0.02,5,0.05,0.2,0.019999999999999997,2.0,0.0,,,,COMPLETE
23,0.8413417586703109,2026-07-28 02:41:54.114192,2026-07-28 02:47:18.260477,0 days 00:05:24.146285,0.29999999999999993,5,0.9999999999999999,0.2,0.001,2.0,0.0,,,,COMPLETE
24,999.0,2026-07-28 02:47:19.131805,2026-07-28 02:53:23.290737,0 days 00:06:04.158932,0.29999999999999993,5,0.9999999999999999,0.2,0.001,2.0,0.0,,,,COMPLETE
25,0.8177245621299688,2026-07-28 02:53:29.879432,2026-07-28 03:00:08.610581,0 days 00:06:38.731149,0.29999999999999993,5,0.05,1.1999999999999997,0.019999999999999997,3.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b894328f2a3d050a911e1bf41cb946f4a23e23fe087f378ac21b0bf5d0b149cf19ee3bf149154aac3514cc0713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b8943280000000000000000000000000000000000000000000000000000000000000000000000000000000071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b058571476831894328feffffffffffef3fa3703d0ad7a3d03f8d545d837db9823f9c9999999999c93f6e9c26d45b26184071487471496258060000005f7369676d61714a6807680b43085528f34c29ef9542714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999a93f000000000000f03f7b14ae47e17a943f333333333333d33ffca9f1d24d62503f7b14ae4,7e17a943f9a9999999999c93f333333333333f33f00000000000012400000000000803e4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0358050000005f746f6c7871596807680b43084d48ee10d685ec3c715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d00100005084243e000000000000000000000000378e531bb847e93f11e4bae35613ef3f619a07a42e6de93f0000000000388f4084f0478d45ecea3f0000000000388f400000000000000000060000000100000005000500f670000001000000000000002cad823e000000002ecf423f000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d00000000000000000002000000000078659e3e0000000088e5d23e000000000000000000000000000000000000000018000000000000002ecf423f000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000084a4509f770000078630bf4f6700000f8ed2c09f7700000306795ebf67000000000000000000000000000000000000020fa423f0000000020fa423f0000000080683609f7700000c0dd46d7f670000090f887d8f670000048c046d7f670000090c046d7f6700000a8c046d7f6700000507dd8d8f670000030de46d7f670000068de46d7f670000070f346d7f670000010914909f7700000705446d7f670000050e64809f7700000f03a3909f7700000308e4509f7700000f0854c09f770000070093909f770000071667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b894378014d6923cb98f23fd0faf0290df1a7bf8c5170c96690773f36b85aa76cf2ac3f76cd30e7d6410c406d1d0267fd93f23fc40fdeb8c4db93bfd7b2cfc613dbafbf6cbc2a27ba961bc0821be77e6c18f23f4b110a976d8e923fa9c2d7447eb30d406aa5ea77a0d1f23fa93084302af11840d681008d37bc8f40716d74716e6275622e,,COMPLETE
26,999.0,2026-07-28 03:00:08.924172,2026-07-28 03:07:10.541917,0 days 00:07:01.617745,0.29999999999999993,30,0.05,1.1999999999999997,0.019999999999999997,3.0,0.0,,,,COMPLETE
27,0.8438602913654386,2026-07-28 03:07:11.147366,2026-07-28 03:11:54.656112,0 days 00:04:43.508746,0.29999999999999993,30,0.9999999999999999,1.1999999999999997,0.019999999999999997,3.0,0.0,,,,COMPLETE
28,999.0,2026-07-28 03:11:59.888529,2026-07-28 03:18:40.842676,0 days 00:06:40.954147,0.29999999999999993,30,0.05,0.2,0.019999999999999997,3.0,0.0,,,,COMPLETE
29,0.8124636912394526,2026-07-28 03:18:43.464964,2026-07-28 03:25:07.228169,0 days 00:06:23.763205,0.29999999999999993,30,0.9999999999999999,1.1999999999999997,0.001,3.0,0.0,,,,COMPLETE
