number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
39,0.11060591513438355,2026-07-14 05:35:38.477317,2026-07-14 05:37:43.339732,0 days 00:02:04.862415,0.2836746561305823,0.34819285401728517,0.9082603176590754,4,5,,COMPLETE
40,0.1100642187289893,2026-07-14 05:37:43.340297,2026-07-14 05:39:18.748503,0 days 00:01:35.408206,0.24951574363202375,0.8519052850966053,0.3595785733111935,5,5,,COMPLETE
41,0.11020984308370634,2026-07-14 05:39:18.749071,2026-07-14 05:41:25.479877,0 days 00:02:06.730806,0.8966142670511501,0.6489828193611523,0.924057332692205,1,4,,COMPLETE
42,0.11011729641554753,2026-07-14 05:41:25.480480,2026-07-14 05:43:02.917872,0 days 00:01:37.437392,0.32906533865658966,0.12232336604879444,0.7521047406801614,4,5,,COMPLETE
43,0.11040754885973834,2026-07-14 05:43:02.918515,2026-07-14 05:45:59.487623,0 days 00:02:56.569108,0.3099802598923318,0.2276944849610907,0.5348832182891977,5,4,,COMPLETE
44,0.11084893490283007,2026-07-14 05:45:59.488237,2026-07-14 05:47:42.759134,0 days 00:01:43.270897,0.28791294619566077,0.17071829562939714,0.5570799956990357,2,5,,COMPLETE
45,0.11040654271452989,2026-07-14 05:47:42.759724,2026-07-14 05:49:37.323988,0 days 00:01:54.564264,0.796675517276553,0.2662355288988911,0.5215266480680808,2,2,,COMPLETE
46,0.11038469235987713,2026-07-14 05:49:37.324565,2026-07-14 05:51:13.684459,0 days 00:01:36.359894,0.7889555424686083,0.4488117745979836,0.360620233620942,3,5,,COMPLETE
47,0.1103657177641569,2026-07-14 05:51:13.685046,2026-07-14 05:52:50.777913,0 days 00:01:37.092867,0.7411235321661156,0.14271226269255805,0.9353310190334384,4,3,,COMPLETE
48,0.11026483872965731,2026-07-14 05:52:50.778492,2026-07-14 05:54:40.552027,0 days 00:01:49.773535,0.4984575624415897,0.2601715270785191,0.20994876668620072,5,3,,COMPLETE
49,0.11032162852093146,2026-07-14 05:54:40.552613,2026-07-14 05:56:34.421890,0 days 00:01:53.869277,0.5349653533210573,0.35571158863562025,0.5799211836608342,4,5,,COMPLETE
