number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
20,0.1101927326566148,2026-07-14 03:25:25.238156,2026-07-14 03:27:03.184974,0 days 00:01:37.946818,0.5355350464258082,0.6695336707588979,0.27835208237530695,4,4,2.0,0.0,,,,COMPLETE
21,0.11020181669164653,2026-07-14 03:27:03.185588,2026-07-14 03:29:00.743339,0 days 00:01:57.557751,0.12279456243960313,0.23963576637878015,0.4647293381087414,4,3,2.0,0.0,,,,COMPLETE
22,0.11006281413813929,2026-07-14 03:29:00.743989,2026-07-14 03:30:52.029178,0 days 00:01:51.285189,0.7464389337795503,0.22183478220679387,0.2960715649169064,4,3,2.0,0.0,,,,COMPLETE
23,0.11027692362009808,2026-07-14 03:30:52.029744,2026-07-14 03:32:47.564472,0 days 00:01:55.534728,0.6963853606309964,0.525016463313668,0.21755540465935735,4,3,2.0,0.0,,,,COMPLETE
24,0.1099860173954222,2026-07-14 03:32:47.565048,2026-07-14 03:34:35.031625,0 days 00:01:47.466577,0.7957335165126689,0.7139079671879802,0.2821261559013267,3,3,2.0,0.0,,,,COMPLETE
25,0.11039309713116097,2026-07-14 03:34:35.032193,2026-07-14 03:36:26.765572,0 days 00:01:51.733379,0.5551608648066426,0.5778011975426192,0.707558711722263,4,3,3.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b894328f487d6c7936bf03fc6b3c8bb9ea6e73fb04f32681ec2d3bff4062aeb60eccc3f201c096069b4f9bf713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b89432830fc9fa0ae79e93f82ce5cf5bbe0f1bfaa4352e3c2a3d13f195e9090bd27cb3f4d9a85cf9c4dc83f71417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b05857147683189432806cd05d8b807e93f6225ed88d80b0e40c9c973c87301dc3f6a64218d2d10e33ff449361bfd54084071487471496258060000005f7369676d61714a6807680b43081aa29db2ffb9d23f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f0000000,00000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0358050000005f746f6c7871596807680b4308e11837ce511c453d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d0010000c0f458240000000000000000000000003854a28d7128bc3f7921d8980c4ebc3fc4bcb32da726bc3f71a331419e5bbc3f450abb2b0b28bc3fa4894ba65048bc3f662c207461626c652c207768657265636c617573653d4e6f6e652c2076616c7565733d4e6f6e652c20696e6c696e653d46616c73652c2062696e643d4e6f6e652c2070726566697865733d4e6f6e652c2072657475726e696e673d4e6f6e652c2072657475726e5f64656661756c74733d46616c73652c2070726573657276655f706172616d657465725f6f726465723d46616c73652c202a2a6469616c6563745f6b77293a0a2020202072657475726e2074617267657428666e2c2073656c662c207461626c652c207768657265636c617573653d7768657265636c617573652c2076616c7565733d76616c7565732c20696e6c696e653d696e6c696e652c2062696e643d62696e642c2070726566697865733d70726566697865732c2072657475726e696e673d72657475726e696e672c2072657475726e5f64656661756c74733d72657475726e5f64656661756c74732c2070726573657276655f706172616d657465725f6f726465723d70726573657276655f706172616d657465725f6f726465722c202a2a6469616c656371667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b894378b85ff4be254be73f16d865a985be86bfc2c09c4bf66eba3f98c813b4d1b3a1bfe0f293565b209f3fecc2d265e50afb3f9a14431c645ac13ffda7ede744c8a73f608a8f7fe8cecabfb9950d828703ef3f1031d97b91fd63bfa936a918c871a1bf3ac92229f0fbed3f565a61adf3fdb8bf8f46b2a4502af53f716d74716e6275622e,,COMPLETE
26,0.11054041493279125,2026-07-14 03:36:26.766164,2026-07-14 03:38:01.619907,0 days 00:01:34.853743,0.4622076589187714,0.7017021880941227,0.37679737142914177,3,3,3.0,0.0,,,,COMPLETE
27,0.10999946792503724,2026-07-14 03:38:01.620482,2026-07-14 03:39:50.784771,0 days 00:01:49.164289,0.8754922511285834,0.34915083359171406,0.37833961477268185,4,3,3.0,0.0,,,,COMPLETE
28,0.11015186004532648,2026-07-14 03:39:50.785349,2026-07-14 03:41:47.854543,0 days 00:01:57.069194,0.8290590038957797,0.5297536905722262,0.17768622808669893,3,3,3.0,0.0,,,,COMPLETE
29,0.1102682113000878,2026-07-14 03:41:47.855104,2026-07-14 03:43:26.997345,0 days 00:01:39.142241,0.6561678026293255,0.3888472498417884,0.5534797928954861,4,3,3.0,0.0,,,,COMPLETE
30,0.10998243219932845,2026-07-14 03:43:26.997944,2026-07-14 03:45:18.144746,0 days 00:01:51.146802,0.4030691292828575,0.44696751984695987,0.7615315238774525,4,4,3.0,0.0,,,,COMPLETE
31,0.11028308613358798,2026-07-14 03:45:18.145348,2026-07-14 03:46:52.681573,0 days 00:01:34.536225,0.4493307145363354,0.753744849012664,0.5505112976801946,4,3,3.0,0.0,,,,COMPLETE
32,0.11022467352822192,2026-07-14 03:46:52.682173,2026-07-14 03:48:50.141553,0 days 00:01:57.459380,0.7867471128854365,0.7608056191507756,0.39010893436420496,4,3,3.0,0.0,,,,COMPLETE
33,0.11001912803334243,2026-07-14 03:48:50.142134,2026-07-14 03:50:37.486933,0 days 00:01:47.344799,0.5575456634946976,0.402181376614976,0.47251452482365663,4,3,4.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b894328d83935fc11fad0bf35d0bb51f5e0ec3f006f27632becd63ffc28af3ebbb4ddbf1e9cdb13dc4aea3f713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b894328a9f577048e4bd5bf7aa3e96a75e9c2bf30b0d56320e2e53f0fe40b9ce2a2e2bf1105e54374d2024071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b05857147683189432890b1ea38a5ace33fb76ddbb66ddb0e405f37c7a60bb4e13f5fa4eed45e68dc3f30ff5b094c3d0c4071487471496258060000005f7369676d61714a6807680b43084b79f7b4830bd13f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f0000000,00000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0458050000005f746f6c7871596807680b4308e11837ce511c453d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d0010000c0f458240000000000000000000000003854a28d7128bc3f7921d8980c4ebc3fc4bcb32da726bc3f71a331419e5bbc3f450abb2b0b28bc3fa4894ba65048bc3f473f6e05cf27bc3fabc9056b604cbc3f6c617573653d4e6f6e652c2076616c7565733d4e6f6e652c20696e6c696e653d46616c73652c2062696e643d4e6f6e652c2070726566697865733d4e6f6e652c2072657475726e696e673d4e6f6e652c2072657475726e5f64656661756c74733d46616c73652c2070726573657276655f706172616d657465725f6f726465723d46616c73652c202a2a6469616c6563745f6b77293a0a2020202072657475726e2074617267657428666e2c2073656c662c207461626c652c207768657265636c617573653d7768657265636c617573652c2076616c7565733d76616c7565732c20696e6c696e653d696e6c696e652c2062696e643d62696e642c2070726566697865733d70726566697865732c2072657475726e696e673d72657475726e696e672c2072657475726e5f64656661756c74733d72657475726e5f64656661756c74732c2070726573657276655f706172616d657465725f6f726465723d70726573657276655f706172616d657465725f6f726465722c202a2a6469616c656371667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b894378c42355f46ed0e43f5ed2227881dca1bf1506c5db32d3bd3f08b974eb708e7c3fd55671a56e65bcbf3670b7f8fe95f73f5783392e3d7bb43fe4dd59960a2eb13f48a95d0c4666c5bf4091a0f288b9ee3f673afa74ab7099bf24911de9812fc03f67fe7f6b9124ee3f0b4f320a76c4c8bf74f5602a32c9fc3f716d74716e6275622e,,COMPLETE
34,0.11023310498018597,2026-07-14 03:50:37.487491,2026-07-14 03:52:23.648875,0 days 00:01:46.161384,0.45623324554992506,0.5201954320669931,0.4583489513253036,4,3,4.0,0.0,,,,COMPLETE
35,0.1103523208972266,2026-07-14 03:52:23.649442,2026-07-14 03:54:12.626978,0 days 00:01:48.977536,0.7910844627778747,0.7466454119488717,0.6093843540399461,4,4,4.0,0.0,,,,COMPLETE
36,0.10996459200559158,2026-07-14 03:54:12.627550,2026-07-14 03:56:05.075084,0 days 00:01:52.447534,0.8502699352800088,0.5974936426133575,0.3151479318085637,4,3,4.0,0.0,,,,COMPLETE
37,0.11020638375436488,2026-07-14 03:56:05.075691,2026-07-14 03:57:49.372020,0 days 00:01:44.296329,0.3836798685512421,0.42682109644987787,0.22222176482014788,4,4,4.0,0.0,,,,COMPLETE
38,0.11011963407907671,2026-07-14 03:57:49.372616,2026-07-14 03:59:44.005684,0 days 00:01:54.633068,0.3503943455109208,0.5301436505824537,0.583955291311278,4,4,4.0,0.0,,,,COMPLETE
39,0.10996985757526836,2026-07-14 03:59:44.006254,2026-07-14 04:01:42.541095,0 days 00:01:58.534841,0.978361166282474,0.4184929717146882,0.5122450770336856,4,3,4.0,0.0,,,,COMPLETE
40,0.11124960452483054,2026-07-14 04:01:42.541665,2026-07-14 04:03:52.004723,0 days 00:02:09.463058,0.21066363009127792,0.9631771328293859,0.5802044430648876,4,4,4.0,0.0,,,,COMPLETE
