number,value,datetime_start,datetime_complete,duration,params_edgeThreshold,params_groundScanInd,params_nearestFeatureSearchSqDist,params_surfThreshold,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
10,0.0775323360891313,2026-07-14 11:29:33.527024,2026-07-14 11:32:05.384588,0 days 00:02:31.857564,0.16292270613058726,7,28,0.06692295636221961,1.0,0.0,,,,COMPLETE
11,0.08599422895181345,2026-07-14 11:32:05.572483,2026-07-14 11:34:20.470894,0 days 00:02:14.898411,0.2544468337031569,7,28,0.2609067241913424,1.0,0.0,,,,COMPLETE
12,0.08752654895664455,2026-07-14 11:34:20.471900,2026-07-14 11:36:48.150052,0 days 00:02:27.678152,0.10113080654479575,7,27,0.023402640435185765,1.0,0.0,,,,COMPLETE
13,0.08815348741306206,2026-07-14 11:36:48.151089,2026-07-14 11:39:02.615795,0 days 00:02:14.464706,0.12430333429063854,7,28,0.23787852916044644,1.0,0.0,,,,COMPLETE
14,0.08895571233142391,2026-07-14 11:39:02.616319,2026-07-14 11:41:22.867545,0 days 00:02:20.251226,0.1487850472786383,8,28,0.15610769970440136,1.0,0.0,,,,COMPLETE
15,0.08479534090690843,2026-07-14 11:41:22.930267,2026-07-14 11:43:49.843979,0 days 00:02:26.913712,0.11003456220589891,8,28,0.2536563207293125,1.0,0.0,,,,COMPLETE
16,0.1675064396231376,2026-07-14 11:43:49.846297,2026-07-14 11:46:26.881895,0 days 00:02:37.035598,0.2960378115346516,7,28,0.1650659119656072,1.0,0.0,,,,COMPLETE
17,0.08616766767504365,2026-07-14 11:46:26.882797,2026-07-14 11:48:41.915901,0 days 00:02:15.033104,0.1324114656971485,7,28,0.22489344227284752,2.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0458080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b4308000000000000e03f711286711352711458030000005f633171156807680b430862115f01d0aeb03f711686711752711858040000005f636d7571196807680b430815282f55d11faa3f711a86711b52711c58080000005f635f7369676d61711d6807680b430830ce38804161d93f711e86711f52712058080000005f645f7369676d6171216807680b43088c330e605058f63f712286712352712458030000005f636d71254b0158060000005f6368695f6e7126473ffe18618618618658080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b04857139680b89432006551c748d8810407ba2317c8b4cdcbf7821167f0f36d1bf8c8672f9cbfb0f40713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b04857140680b894320000000000000000000000000000000000000000000000000000000000000000071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b0485714768318943206edbb66ddbb61d405e2c5fc37655c43f1162ac08bb64c43fb76ddbb66ddb3b4071487471496258060000005f7369676d61714a6807680b43087306f5dfdbf1d33f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b044b028671546831894340000000000000044000000000000029407b14ae47e17a943f333333333333d33f7b14ae47e17a943f333333333333d33f000000000000124000000000004049407155747,1566258110000005f6e5f6d61785f726573616d706c696e6771574b2858020000005f6771584b0258050000005f746f6c7871596807680b4308895d111d60452a3d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b19580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b32857165683189429001000060fc530600000000000000000000000021f3095545f1b33fbd3fe2a51354d53ffda2e2bf28d9b33fc87f06dcd970c53f6a057c006a067c028302530029024e72010000002907da046e64696d722d000000723900000072410000007215000000da03646f74723a0000002903721f000000722d000000da0178722400000072240000007225000000da0a5f63616c6c5f696d706cb6000000730800000000010a01180222027a1b4c736f646144656e73654f75747075742e5f63616c6c5f696d706c2906723c000000723d000000723e000000721300000072450000007240000000722400000072240000002901722300000072250000007237000000af000000730400000008010c067237000000290d5a056e756d707972150000005a0f73636970792e696e746567726174657202000000da06636f6d6d6f6e720400000072050000007206000000da046261736572070000007208000000720900000072370000007224000000722400000072240000007225000000da083c6d6f64756c653e01000000730c00000008010c011471667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0a85716c680b894350876b9a2b963d17406f8840524124ddbfafd8c1134403c2bf72dfceb31f58b33f092194e2800cf23fc181204d8899923f1c7d4f81bceddbbf68506ba472ddf13f9bf1eebc7e31d3bfadf6752cf7851940716d74716e6275622e,,COMPLETE
18,0.08833727981298452,2026-07-14 11:48:41.916913,2026-07-14 11:50:55.754068,0 days 00:02:13.837155,0.12931250563767366,7,28,0.15491121035914635,2.0,0.0,,,,COMPLETE
19,0.08482092117349356,2026-07-14 11:50:55.755035,2026-07-14 11:53:13.749782,0 days 00:02:17.994747,0.08168049836055982,8,26,0.07608560225954628,2.0,0.0,,,,COMPLETE
